analysis_group,run_id,input_generation,dataset,task,model,metric,dimension,segment,expected_label,predicted_label,seed,review_id,text,expected_sentiment,predicted_sentiment,sentiment_confidence,sentiment_correct,expected_topic,predicted_topic,topic_confidence,topic_correct,linguistic_level,flagprofanity,hasemoji,hasspellingerror,hasslang,length_class,mixed_sentiment,goldtest,template_family,value,support,low,high
replicate_summary,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,,,,,,,,,,,,,,,,,,,,,,,,,0.3524502987731279,3,0.28437663019809345,0.42052396734816233
replicate_summary,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,,,,,,,,,,,,,,,,,,,,,,,,,0.9840667503562188,3,0.681901390709434,1.2862321100030036
replicate_summary,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,,,,,,,,,,,,,,,,,,,,,,,,,0.7880763268528761,3,0.7590936458067147,0.8170590078990375
replicate_summary,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,,,,,,,,,,,,,,,,,,,,,,,,,0.7880763268528761,3,0.7590936458067148,0.8170590078990374
replicate_summary,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,accuracy,,,,,,,,,,,,,,,,,,,,,,,,,0.8276190476190476,3,0.8276190476190476,0.8276190476190476
replicate_summary,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,brier_score,,,,,,,,,,,,,,,,,,,,,,,,,0.25081609647052244,3,0.25081609647052244,0.25081609647052244
replicate_summary,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,log_loss,,,,,,,,,,,,,,,,,,,,,,,,,0.45492267128142716,3,0.45492267128142716,0.45492267128142716
replicate_summary,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,macro_f1,,,,,,,,,,,,,,,,,,,,,,,,,0.8284569167658057,3,0.8284569167658057,0.8284569167658057
replicate_summary,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,weighted_f1,,,,,,,,,,,,,,,,,,,,,,,,,0.8284569167658057,3,0.8284569167658057,0.8284569167658057
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,flagprofanity,0,,,,,,,,,,,,,,,,,,,,,,,0.7595238095238095,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,flagprofanity,0,,,,,,,,,,,,,,,,,,,,,,,0.40216209432683336,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,flagprofanity,0,,,,,,,,,,,,,,,,,,,,,,,0.17426708437054217,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,flagprofanity,0,,,,,,,,,,,,,,,,,,,,,,,1.1058946659184936,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,flagprofanity,0,,,,,,,,,,,,,,,,,,,,,,,0.7544557845115493,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,flagprofanity,0,,,,,,,,,,,,,,,,,,,,,,,0.8186444696605619,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,flagprofanity,0,,,,,,,,,,,,,,,,,,,,,,,0.7595238095238095,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,flagprofanity,0,,,,,,,,,,,,,,,,,,,,,,,0.7544557845115494,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,flagprofanity,1,,,,,,,,,,,,,,,,,,,,,,,0.861904761904762,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,flagprofanity,1,,,,,,,,,,,,,,,,,,,,,,,0.2602645594627891,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,flagprofanity,1,,,,,,,,,,,,,,,,,,,,,,,0.12876574999871046,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,flagprofanity,1,,,,,,,,,,,,,,,,,,,,,,,0.9383595314450797,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,flagprofanity,1,,,,,,,,,,,,,,,,,,,,,,,0.8600538814436095,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,flagprofanity,1,,,,,,,,,,,,,,,,,,,,,,,0.8930047570127774,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,flagprofanity,1,,,,,,,,,,,,,,,,,,,,,,,0.861904761904762,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,flagprofanity,1,,,,,,,,,,,,,,,,,,,,,,,0.8600538814436095,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,goldtest,0,,,,,,,,,,,,,,,,,,,,,,,0.7870370370370371,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,goldtest,0,,,,,,,,,,,,,,,,,,,,,,,0.3617053635996178,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,goldtest,0,,,,,,,,,,,,,,,,,,,,,,,0.15665188456274626,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,goldtest,0,,,,,,,,,,,,,,,,,,,,,,,1.0505246797536782,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,goldtest,0,,,,,,,,,,,,,,,,,,,,,,,0.7842873309163663,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,goldtest,0,,,,,,,,,,,,,,,,,,,,,,,0.8364885678337455,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,goldtest,0,,,,,,,,,,,,,,,,,,,,,,,0.7870370370370371,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,goldtest,0,,,,,,,,,,,,,,,,,,,,,,,0.7842873309163663,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,goldtest,1,,,,,,,,,,,,,,,,,,,,,,,0.75625,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,goldtest,1,,,,,,,,,,,,,,,,,,,,,,,0.41454321752514706,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,goldtest,1,,,,,,,,,,,,,,,,,,,,,,,0.19400010766861278,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,goldtest,1,,,,,,,,,,,,,,,,,,,,,,,1.146175126560509,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,goldtest,1,,,,,,,,,,,,,,,,,,,,,,,0.746148094336287,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,goldtest,1,,,,,,,,,,,,,,,,,,,,,,,0.8225182065155355,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,goldtest,1,,,,,,,,,,,,,,,,,,,,,,,0.75625,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,goldtest,1,,,,,,,,,,,,,,,,,,,,,,,0.7461480943362869,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,hasemoji,0,,,,,,,,,,,,,,,,,,,,,,,0.7788888888888889,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,hasemoji,0,,,,,,,,,,,,,,,,,,,,,,,0.3722896281034141,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,hasemoji,0,,,,,,,,,,,,,,,,,,,,,,,0.16319599395693518,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,hasemoji,0,,,,,,,,,,,,,,,,,,,,,,,1.0428049392104688,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,hasemoji,0,,,,,,,,,,,,,,,,,,,,,,,0.7749803829039154,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,hasemoji,0,,,,,,,,,,,,,,,,,,,,,,,0.8334856916894914,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,hasemoji,0,,,,,,,,,,,,,,,,,,,,,,,0.778888888888889,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,hasemoji,0,,,,,,,,,,,,,,,,,,,,,,,0.7749803829039152,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,hasemoji,1,,,,,,,,,,,,,,,,,,,,,,,0.7866666666666666,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,hasemoji,1,,,,,,,,,,,,,,,,,,,,,,,0.38274034285768654,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,hasemoji,1,,,,,,,,,,,,,,,,,,,,,,,0.1731169333029451,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,hasemoji,1,,,,,,,,,,,,,,,,,,,,,,,1.2498838379038641,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,hasemoji,1,,,,,,,,,,,,,,,,,,,,,,,0.7813779722787912,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,hasemoji,1,,,,,,,,,,,,,,,,,,,,,,,0.8312011555983555,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,hasemoji,1,,,,,,,,,,,,,,,,,,,,,,,0.7866666666666666,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,hasemoji,1,,,,,,,,,,,,,,,,,,,,,,,0.7813779722787912,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,hasslang,0,,,,,,,,,,,,,,,,,,,,,,,0.778395061728395,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,hasslang,0,,,,,,,,,,,,,,,,,,,,,,,0.37525960048577933,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,hasslang,0,,,,,,,,,,,,,,,,,,,,,,,0.16569009400632734,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,hasslang,0,,,,,,,,,,,,,,,,,,,,,,,1.0747109339529464,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,hasslang,0,,,,,,,,,,,,,,,,,,,,,,,0.774699741408158,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,hasslang,0,,,,,,,,,,,,,,,,,,,,,,,0.834855914567771,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,hasslang,0,,,,,,,,,,,,,,,,,,,,,,,0.778395061728395,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,hasslang,0,,,,,,,,,,,,,,,,,,,,,,,0.774699741408158,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,hasslang,1,,,,,,,,,,,,,,,,,,,,,,,0.7854166666666667,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,hasslang,1,,,,,,,,,,,,,,,,,,,,,,,0.3687976680343519,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,hasslang,1,,,,,,,,,,,,,,,,,,,,,,,0.16097899338149274,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,hasslang,1,,,,,,,,,,,,,,,,,,,,,,,1.0645465186379783,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,hasslang,1,,,,,,,,,,,,,,,,,,,,,,,0.7799507498295842,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,hasslang,1,,,,,,,,,,,,,,,,,,,,,,,0.8286407534901511,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,hasslang,1,,,,,,,,,,,,,,,,,,,,,,,0.7854166666666668,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,hasslang,1,,,,,,,,,,,,,,,,,,,,,,,0.7799507498295843,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,hasspellingerror,0,,,,,,,,,,,,,,,,,,,,,,,0.7796296296296297,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,hasspellingerror,0,,,,,,,,,,,,,,,,,,,,,,,0.3696039010702522,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,hasspellingerror,0,,,,,,,,,,,,,,,,,,,,,,,0.16340941510857826,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,hasspellingerror,0,,,,,,,,,,,,,,,,,,,,,,,1.0376026111218906,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,hasspellingerror,0,,,,,,,,,,,,,,,,,,,,,,,0.7757162892126703,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,hasspellingerror,0,,,,,,,,,,,,,,,,,,,,,,,0.8313778780605579,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,hasspellingerror,0,,,,,,,,,,,,,,,,,,,,,,,0.7796296296296297,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,hasspellingerror,0,,,,,,,,,,,,,,,,,,,,,,,0.7757162892126702,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,hasspellingerror,1,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,hasspellingerror,1,,,,,,,,,,,,,,,,,,,,,,,0.38788565356175614,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,hasspellingerror,1,,,,,,,,,,,,,,,,,,,,,,,0.16867628466139528,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,hasspellingerror,1,,,,,,,,,,,,,,,,,,,,,,,1.1897871081927918,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,hasspellingerror,1,,,,,,,,,,,,,,,,,,,,,,,0.7764869077125421,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,hasspellingerror,1,,,,,,,,,,,,,,,,,,,,,,,0.8392610000809144,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,hasspellingerror,1,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,hasspellingerror,1,,,,,,,,,,,,,,,,,,,,,,,0.7764869077125421,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,length_class,long,,,,,,,,,,,,,,,,,,,,,,,0.8035363457760314,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,length_class,long,,,,,,,,,,,,,,,,,,,,,,,0.36429378676459073,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,length_class,long,,,,,,,,,,,,,,,,,,,,,,,0.1730518636332764,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,length_class,long,,,,,,,,,,,,,,,,,,,,,,,1.3082663287385083,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,length_class,long,,,,,,,,,,,,,,,,,,,,,,,0.8060518682602518,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,length_class,long,,,,,,,,,,,,,,,,,,,,,,,0.8498888313137258,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,length_class,long,,,,,,,,,,,,,,,,,,,,,,,0.8128032055897177,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,length_class,long,,,,,,,,,,,,,,,,,,,,,,,0.8030721091219976,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,length_class,medium,,,,,,,,,,,,,,,,,,,,,,,0.7567316620241411,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,length_class,medium,,,,,,,,,,,,,,,,,,,,,,,0.38415805740361597,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,length_class,medium,,,,,,,,,,,,,,,,,,,,,,,0.15806463610407534,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,length_class,medium,,,,,,,,,,,,,,,,,,,,,,,0.8536317599966933,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,length_class,medium,,,,,,,,,,,,,,,,,,,,,,,0.7423987869199259,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,length_class,medium,,,,,,,,,,,,,,,,,,,,,,,0.8166091005945629,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,length_class,medium,,,,,,,,,,,,,,,,,,,,,,,0.744979684966223,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,length_class,medium,,,,,,,,,,,,,,,,,,,,,,,0.747493969998242,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,length_class,short,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,length_class,short,,,,,,,,,,,,,,,,,,,,,,,0.07082613868072976,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,length_class,short,,,,,,,,,,,,,,,,,,,,,,,0.13995737623752358,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,length_class,short,,,,,,,,,,,,,,,,,,,,,,,0.1675027555525534,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,length_class,short,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,length_class,short,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,length_class,short,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,length_class,short,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,linguistic_level,advanced,,,,,,,,,,,,,,,,,,,,,,,0.7976190476190477,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,linguistic_level,advanced,,,,,,,,,,,,,,,,,,,,,,,0.3414819060140514,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,linguistic_level,advanced,,,,,,,,,,,,,,,,,,,,,,,0.15562632610241012,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,linguistic_level,advanced,,,,,,,,,,,,,,,,,,,,,,,1.0533576957892652,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,linguistic_level,advanced,,,,,,,,,,,,,,,,,,,,,,,0.7930218185343375,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,linguistic_level,advanced,,,,,,,,,,,,,,,,,,,,,,,0.8501548371113589,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,linguistic_level,advanced,,,,,,,,,,,,,,,,,,,,,,,0.7976190476190478,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,linguistic_level,advanced,,,,,,,,,,,,,,,,,,,,,,,0.7930218185343375,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,linguistic_level,informal,,,,,,,,,,,,,,,,,,,,,,,0.7642857142857142,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,linguistic_level,informal,,,,,,,,,,,,,,,,,,,,,,,0.40491282309187643,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,linguistic_level,informal,,,,,,,,,,,,,,,,,,,,,,,0.18523097908583236,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,linguistic_level,informal,,,,,,,,,,,,,,,,,,,,,,,1.1456707962255595,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,linguistic_level,informal,,,,,,,,,,,,,,,,,,,,,,,0.7653024475148805,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,linguistic_level,informal,,,,,,,,,,,,,,,,,,,,,,,0.8161041973800133,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,linguistic_level,informal,,,,,,,,,,,,,,,,,,,,,,,0.7642857142857143,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,linguistic_level,informal,,,,,,,,,,,,,,,,,,,,,,,0.7653024475148806,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,linguistic_level,limited,,,,,,,,,,,,,,,,,,,,,,,0.75,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,linguistic_level,limited,,,,,,,,,,,,,,,,,,,,,,,0.41073279807699586,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,linguistic_level,limited,,,,,,,,,,,,,,,,,,,,,,,0.18410138210095855,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,linguistic_level,limited,,,,,,,,,,,,,,,,,,,,,,,1.1102880230327103,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,linguistic_level,limited,,,,,,,,,,,,,,,,,,,,,,,0.739159609226017,,,
segment_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,linguistic_level,limited,,,,,,,,,,,,,,,,,,,,,,,0.8060218397128249,,,
