ID,text,sentiment,topic,linguistic_level,flagprofanity,hasemoji,hasspellingerror,hasslang,length_class,mixed_sentiment,template_family,source,training_generation,input_timestamp
32,"I did not pay much attention to the touchsreen at first, but during normal weekday use it is inconsistent. I checked it again before making up my mind. The result is consistent with what I observed under comparable conditions.",negative,smartphone,advanced,0,0,1,0,long,0,attention,initial,0,2026-08-18T22:44:45Z
33,"After comparing it with my previous unit, the temprature contorl has no major strengths or weaknesses. the same pattern showed up in a second test. my opinion is still basically in the middle. There is no major crap to complain about here.",neutral,refrigerator,standard,1,0,1,0,long,0,context_component,initial,0,2026-08-18T22:44:45Z
34,"Across repeated observations, i have been using this kitchen refrigerator after comparing it with my previous unit, and the compressor has been easy to live with. nothing else unusual was happening at the time.",positive,refrigerator,technical,0,0,0,0,long,0,using,initial,0,2026-08-18T22:44:45Z
35,"my main impression of this television comes from the moiton handling: it does the basic job after comparing it with my previous unit. the result matched what i saw earlier in the week. it is not amazing, but it is not bullshit either.",neutral,television,informal,1,0,1,0,long,0,main_impression,initial,0,2026-08-18T22:44:45Z
36,"Under a representative operating profile, during a typical weekend, I noticed that the control panel on this washer is inconsistent. this needs to improve.",negative,washing_machine,technical,0,0,0,0,medium,0,noticed,initial,0,2026-08-18T22:44:45Z
37,"during a typical weekend, i noticed that the hdmi input this display makes routine use harder than it should be. i would not rely on it.",negative,television,limited,0,0,0,0,medium,0,noticed,initial,0,2026-08-18T22:44:45Z
38,"honestly tho, after comparing it with my previous unit, the touchsreen works better than i expected.",positive,smartphone,informal,0,0,1,1,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
39,"My main impression of this mobile phone comes from the camera: it has been reliable after a week of everyday use. A spearate point is the charging port, which does the basic job. nothing else unusual was happening at the time. it has earned my confidnece.",positive,smartphone,standard,0,0,1,0,long,1,main_impression,initial,0,2026-08-18T22:44:45Z
40,"i have been using this laundry machine after a month of ownership, and the rinse cycle is inconsistent. nothing else unusual was happening at the time. this is damn annoying. kinda wild.",negative,washing_machine,informal,1,0,0,1,medium,0,using,initial,0,2026-08-18T22:44:45Z
41,The noise level is what stood out after several routine cycles; it has been easy to live with. I checked it again before making up my mind. The damn thing surprised me in a good way. The result is consistent with what I observed under comparable conditions.,positive,washing_machine,advanced,1,0,0,0,long,0,stood_out,initial,0,2026-08-18T22:44:45Z
42,My main impression of this handset comes from the touchscreen: it is inconsistent while using it at home. I got the same result more than once.,negative,smartphone,standard,0,0,0,0,medium,0,main_impression,initial,0,2026-08-18T22:44:45Z
43,"real talk, my main of this screen comes from the menu system: it is fine but forgettable after a week of everyday use. the same pattern showed up in a second test. my opinion is still basically in the middle. honestly, the thing is just average.",neutral,television,limited,1,0,0,1,long,0,main_impression,initial,0,2026-08-18T22:44:45Z
44,"i did not pay much attention the battery at first, but after routine cycles it is pretty ordinary. it behaved similarly under a few different conditions. the face unlock tells a different story because it does its job without fuss.",neutral,smartphone,limited,0,0,0,0,long,1,attention,initial,0,2026-08-18T22:44:45Z
45,"by contrast, the remote control works worse than i expected. the sound output is what stood out while using it at home; it feels average. i got the same result more than once.",neutral,television,informal,0,0,0,0,medium,1,stood_out,initial,0,2026-08-18T22:44:45Z
46,"I have been using this daily phone while useing it at home, and the speaker still feels solid. I noticed the pattern gradually rather than all at once.",positive,smartphone,standard,0,0,1,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
47,"Under a representative operating profile, after comparing it with my previous unit, the speaker is inconsistent. the same pattern showed up in a second test. The damn thing keeps getting in the way.",negative,smartphone,technical,1,0,0,0,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
48,"after comparing it with my previous unit, the hdmi input keeps doing what i need. the same pattern showed up in a second test.",positive,television,informal,0,0,0,0,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
49,"i have been using this cooling unit after a week of everyday use, and the interior light is pretty ordinary. i noticed the pattern gradually rather than all at once. i don't feel strongly either way.",neutral,refrigerator,informal,0,0,0,0,long,0,using,initial,0,2026-08-18T22:44:45Z
50,"the screen tells a different story because it makes routine use harder than it should be. i have been using this display after several routine cycles, and the wi-fi still feels solid. i checked it again before making up my mind. for my use case, this is a keeper. 🙃",positive,television,informal,0,1,0,0,long,1,using,initial,0,2026-08-18T22:44:45Z
51,"On the other hand, the compressor performs about as expected, which makes the overall picture more mixed. The cooling fan is what stood out after a week of everyday use; it fails too often. this is the part that makes me regret the purchase. The result is consistent with what I observed under comparable conditions.",negative,refrigerator,advanced,0,0,0,0,long,1,stood_out,initial,0,2026-08-18T22:44:45Z
52,"i did not pay much attention to the drum at first, but after a month of ownership it works worse than i expected. i am already looking at alternatives.",negative,washing_machine,informal,0,0,0,0,medium,0,attention,initial,0,2026-08-18T22:44:45Z
53,"After repeated use under comparable conditions, after the initial setup, the control panel keeps causing problems. That said, the drain pump does its job without fuss, so the experiance is not completely one-sided.",negative,washing_machine,technical,0,0,1,0,medium,1,context_component,initial,0,2026-08-18T22:44:45Z
54,"ngl, i did not pay much attention to the face unlock at first, but after the initial setup it keeps causing problems. the same pattern showed up in a second test. this is the part that makes me regret the purchase. This makes the broader ownership experience easier to evaluate.",negative,smartphone,advanced,0,0,0,1,long,0,attention,initial,0,2026-08-18T22:44:45Z
55,"i have been using this kitchen refrigerator after a month of ownership, and the shelves is pretty ordinary.",neutral,refrigerator,informal,0,0,0,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
56,"i have been using this during a typical weekend, and the charging port fails too often. i checked it again before making up my mind.",negative,smartphone,limited,0,0,0,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
57,My main impression of this laundry machine comes from the rinse cycle: it has not held up after a month of ownership. the behavior was consistent from day to day. This is damn annoying. for real.,negative,washing_machine,standard,1,0,0,1,long,0,main_impression,initial,0,2026-08-18T22:44:45Z
58,"real talk, the shelves is what stood out while useing it at home; it is inconsistent. I observed the pattern gradually rather than all at once. this needs to improve. The difference became clearer once I compared several ordinary use cases.",negative,refrigerator,advanced,0,0,1,1,long,0,stood_out,initial,0,2026-08-18T22:44:45Z
59,"I have been using this fridge during a typical weekend, and the door seal does the basic job. the behavior was consistent from day to day.",neutral,refrigerator,standard,0,0,0,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
60,"i have been using this tv while using it at home, and the wi-fi is usable without standing out. i got the same result more than once. lol. 🙂",neutral,television,limited,0,1,0,1,medium,0,using,initial,0,2026-08-18T22:44:45Z
61,"After a month of ownership, I observed that the charging port on this device performs about as expected. That repeated behavior matters more to me than the first impression.",neutral,smartphone,advanced,0,0,0,0,medium,0,noticed,initial,0,2026-08-18T22:44:45Z
62,"i did not pay much attention to the inetrior light at first, but during normal weekday use it has held up well. for my use case, this is a keeper.",positive,refrigerator,informal,0,0,1,0,medium,0,attention,initial,0,2026-08-18T22:44:45Z
63,"during a typical weekend, the camera keeps causing problems. the same pattern showed up in a second i would hesitate to buy it again.",negative,smartphone,limited,0,0,0,0,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
64,"not gonna lie, after a week of everyday use, I noticed that the shelves on this fridge works better than I expected. I noticed the pattern gradually rather than all at once. The damn thing surprised me in a good way.",positive,refrigerator,standard,1,0,0,1,long,0,noticed,initial,0,2026-08-18T22:44:45Z
65,"Under ordinary operating conditions, after a week of everyday use, I noticed that the menu system on this telivision does the basic job. it behaved similarly under a few different conditions. I do not feel strongly either way.",neutral,television,technical,0,0,1,0,long,0,noticed,initial,0,2026-08-18T22:44:45Z
66,"My main impression of this family fridge comes from the freezer drawer: it does its job without fuss after several routine cycles. A separate point is the door seal, which feels average. I got the same result more than once. That repeated behavior matters more to me than the first impression.",positive,refrigerator,advanced,0,0,0,0,long,1,main_impression,initial,0,2026-08-18T22:44:45Z
67,"Under ordinary operating conditions, the ice maker is what stood out after a week of everyday use; it is usable without standing out. nothing else nuusual was happening at the time. my opinion is still basically in the middle. Honestly 💀",neutral,refrigerator,technical,0,1,1,0,long,0,stood_out,initial,0,2026-08-18T22:44:45Z
68,"I have been using this living-room TV after a month of ownership, and the motion handling keeps doing what I need. it behaved similarly under a few different conditions.",positive,television,standard,0,0,0,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
69,"After comparing it with my previous unit, the speaker feels average. That said, the face unlock keeps doing what I need, so the experience is not completely one-sided. I checked it again before making up my mind. I would neither recommend it nor warn people away.",neutral,smartphone,standard,0,0,0,0,long,1,context_component,initial,0,2026-08-18T22:44:45Z
70,"After repeated use under comparable conditions, my main impression of this kitchen refridgerator comes from the ice maker: it keeps causing problems after a month of ownership. I checked it again before making up my mind. 😂",negative,refrigerator,technical,0,1,1,0,long,0,main_impression,initial,0,2026-08-18T22:44:45Z
71,"Across repeated observations, the cooling fan is what stood out after the initial setup; it does the basic job. the behavior was consistent from day to day.",neutral,refrigerator,technical,0,0,0,0,medium,0,stood_out,initial,0,2026-08-18T22:44:45Z
72,"i have been using this smartphone after a week of everyday use, and the face unlock doing what i need.",positive,smartphone,limited,0,0,0,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
73,the water is what stood out while using it at home; it keeps causing problems. behavior was consistent from day to day.,negative,washing_machine,limited,0,0,0,0,medium,0,stood_out,initial,0,2026-08-18T22:44:45Z
74,"imo, i have been using this fridge after comparing it with my previous unit, and the cooling fan is inconsistent. it behaved similarly under a few different conditions.",negative,refrigerator,informal,0,0,0,1,medium,0,using,initial,0,2026-08-18T22:44:45Z
75,"During normal weekday use, the camera has become unreliable. the same pattern showed up in a second test. That repeated behavior matters more to me than the first impression.",negative,smartphone,advanced,0,0,0,0,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
76,"During normal weekday use, the software does the basic job. it behaved similarly under a few diferent conditions. there is not much else to say. pretty solid ngl.",neutral,smartphone,standard,0,0,1,1,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
77,"After repeated use under comparable conditions, i did not pay much attention to the ice maker at first, but during a typical weekend it has not held up. it behaved similarly under a few different conditions. Honestly 😂",negative,refrigerator,technical,0,1,1,0,long,0,attention,initial,0,2026-08-18T22:44:45Z
78,"After a week of everyday use, the detergent drawer is usable without standing out. I checked it again before making up my mind. my opinion is still basically in the middle.",neutral,washing_machine,standard,0,0,0,0,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
79,My main impression of this cooling unit comes from the door alarm: it works worse than I expected after the initial setup. the result matched what I saw earlier in the week.,negative,refrigerator,standard,0,0,0,0,medium,0,main_impression,initial,0,2026-08-18T22:44:45Z
80,"After repeated use under comparable conditions, the screen is what stood out after a month of ownership; it has been easy to live with. nothing else unusual was happening at the time. overall I am happy with it.",positive,television,technical,0,0,0,0,long,0,stood_out,initial,0,2026-08-18T22:44:45Z
81,"i did not pay much attention to the spin cycle at first, but during a typical weekend it does its job without fuss.",positive,washing_machine,informal,0,0,0,0,medium,0,attention,initial,0,2026-08-18T22:44:45Z
82,"Across repeated observations, after a month of ownership, the drain pump has become unreliable.",negative,washing_machine,technical,0,0,0,0,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
83,"By contrast, the backlight works worse than I expected. While using it at home, I noticed that the remote control on this display keeps doing what I need. it behaved similarly under a few different conditions. it has earned my confidence. pretty solid ngl.",positive,television,standard,0,0,0,1,long,1,noticed,initial,0,2026-08-18T22:44:45Z
84,"That said, the compressor has held up well, so the experience is not completely one-sided. The freezer drawer is what stood out during a typical weekend; it works worse than I expected. I noticed the pattern gradually rather than all at once. this is the part that makes me regret the purchase. 💀",negative,refrigerator,standard,0,1,0,0,long,1,stood_out,initial,0,2026-08-18T22:44:45Z
85,"That said, the spin cycle does the basic job, so the experience is not completely one-sided. After comparing it with my previous unit, the door lock works worse than I expected.",negative,washing_machine,standard,0,0,0,0,medium,1,context_component,initial,0,2026-08-18T22:44:45Z
86,"imo, my main impression of this smartphone comes from the touchscreen: it is usable without standing out while it at home.",neutral,smartphone,limited,0,0,0,1,medium,0,main_impression,initial,0,2026-08-18T22:44:45Z
87,the noise level is what stood out after comparign it with my previous unit; it does what the specification says. i checked it again before making up my mind.,neutral,washing_machine,informal,0,0,1,0,medium,0,stood_out,initial,0,2026-08-18T22:44:45Z
88,"i did not pay much attention to the water inlet at first, but while using it at home it does its job fuss. nothing else unusual was happening at the time. i would buy it again.",positive,washing_machine,limited,0,0,0,0,long,0,attention,initial,0,2026-08-18T22:44:45Z
89,"After a month of ownership, I observed that the face unlock on this device has no major strengths or weaknesses. The difference became clearer once I compared several ordinary use cases.",neutral,smartphone,advanced,0,0,0,0,medium,0,noticed,initial,0,2026-08-18T22:44:45Z
90,"Under ordinary operating conditions, a separate point is the HDMI input, which works about as expected. My main impression of this smart TV comes from the motion handling: it keeps causing problems while using it at home. nothing else unusual was happening at the time.",negative,television,technical,0,0,0,0,long,1,main_impression,initial,0,2026-08-18T22:44:45Z
91,"ngl, the door lock is what stood out while using it at home; it feels average. I got the same result more than once. I can live with it. 🙂",neutral,washing_machine,standard,0,1,0,1,medium,0,stood_out,initial,0,2026-08-18T22:44:45Z
92,"After several routine cycles, the door lock fails too often. lol. The pattern remained consistent enough to influence my overall assessment.",negative,washing_machine,advanced,0,0,0,1,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
93,"during normal weekday use, the remote control feels average. i noticed the pattern gradually rather than all at once.",neutral,television,informal,0,0,0,0,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
94,"I did not pay much attention to the shelves at first, but after a week of everyday use it works worse than I expected. nothing else unusual was happening at the time.",negative,refrigerator,standard,0,0,0,0,medium,0,attention,initial,0,2026-08-18T22:44:45Z
95,"on the other hand, the menu system does its job without fuss, which makes the overall picture more mixed. during a typical weekend, i noticed that the motion handling on this display has not held up. the behavior was consistent from day to day.",negative,television,informal,0,0,0,0,long,1,noticed,initial,0,2026-08-18T22:44:45Z
96,the remote contorl is what stood out after the initial setup; it still feels solid. the behavior was consistent from day to day. it has earned my confidence.,positive,television,informal,0,0,1,0,medium,0,stood_out,initial,0,2026-08-18T22:44:45Z
97,"i did not pay much attention to the wi-fi at first, but after comparing it with my previous unit it makes routine use than it should be. a seperate point is the menu system, which still feels nothing else unusual was happening at the time. i am tired of this crap. 😅",negative,television,limited,1,1,1,0,long,1,attention,initial,0,2026-08-18T22:44:45Z
98,"after comparing it with my previous unit, the wi-fi performs consistently. on the other hand, the motion handling works worse than i expected, which makes the overall picture more mixed. i checked it again before making up my mind. the damn thing surprised me in a good way.",positive,television,informal,1,0,0,0,long,1,context_component,initial,0,2026-08-18T22:44:45Z
99,"Under ordinary operating conditions, fr, during a typical weekend, I noticed that the interior light on this appliance makes routine use harder than it should be.",negative,refrigerator,technical,0,0,0,1,medium,0,noticed,initial,0,2026-08-18T22:44:45Z
100,"the compressor is what stood out during a typical weekend; it is fine but forgettable. i noticed the pattern gradually than all at once. it is adequate for now. it is not amazing, it is not bullshit either.",neutral,refrigerator,limited,1,0,0,0,long,0,stood_out,initial,0,2026-08-18T22:44:45Z
101,"During normal weekday use, the water inlet has not held up. it behaved similarly under a few different conditions. I would hesitate to buy it again. The damn thing keeps getting in the way. This makes the broader ownership experience easier to evaluate.",negative,washing_machine,advanced,1,0,0,0,long,0,context_component,initial,0,2026-08-18T22:44:45Z
102,"I did not pay much attention to the drum at first, but after comparing it with my previous unit it fails too often. the same pattern showed up in a secnod test. The result is consistent with what I observed under comparable conditions.",negative,washing_machine,advanced,0,0,1,0,long,0,attention,initial,0,2026-08-18T22:44:45Z
103,i have been using this living-room tv after a month of and the wi-fi has been relialbe.,positive,television,limited,0,0,1,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
104,My main impression of this smart TV comes from the motion handling: it has beocme unreliable after the initial setup.,negative,television,standard,0,0,1,0,medium,0,main_impression,initial,0,2026-08-18T22:44:45Z
105,"Across repeated observations, after a month of ownership, I noticed that the remote control on this smart TV works worse than I expected. the behavior was consistent from day to day. I am considering a replacement.",negative,television,technical,0,0,0,0,long,0,noticed,initial,0,2026-08-18T22:44:45Z
106,"i have been useing this front loader during normal weekday use, and the drain pump works worse than i expected. the same pattern showed up in a second test. 🙃",negative,washing_machine,informal,0,1,1,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
107,"fr, during a typical weekend, I observed that the backlight on this TV is usable without standing out. it behaved similarly under a few different conditions. I do not feel strongly either way. That repeated behavior matters more to me than the first impression.",neutral,television,advanced,0,0,0,1,long,0,noticed,initial,0,2026-08-18T22:44:45Z
108,"after comparing it with my previous unit, i noticed that the spin cycle on washer works worse than i expected. it behaved similarly under a few different conditions.",negative,washing_machine,limited,0,0,0,0,medium,0,noticed,initial,0,2026-08-18T22:44:45Z
109,"on the other hand, the water inlet works worse than i expected, which makes the overall picture more mixed. my main impression of this laundry machine comes from the noise level: it has been reliable after a month of ownership. i checked it again before making up my mind.",positive,washing_machine,informal,0,0,0,0,long,1,main_impression,initial,0,2026-08-18T22:44:45Z
110,my main impression of this fridge comes from the interior light: it has held up well after several routine cycles. the result matched what i saw earlier in the week. the shelves tells a different story because it has become unreliable.,positive,refrigerator,informal,0,0,0,0,long,1,main_impression,initial,0,2026-08-18T22:44:45Z
111,"I did not pay much attention to the microphone at first, but after a month of ownership it has been frustrating to use. I am already looking at alternatives. The pattern remained consistent enough to influence my overall assessment.",negative,smartphone,advanced,0,0,0,0,long,0,attention,initial,0,2026-08-18T22:44:45Z
112,"After repeated use under comparable conditions, my main impression of this daily phone comes from the microphone: it works worse than I expected during a typical weekend. the result matched what I saw earlier in the week.",negative,smartphone,technical,0,0,0,0,long,0,main_impression,initial,0,2026-08-18T22:44:45Z
113,"While using it at home, the cooling fan still feels solid. I checked it again before making up my mind. I would buy it again. I expected some crap here, but it has actually held up.",positive,refrigerator,standard,1,0,0,0,long,0,context_component,initial,0,2026-08-18T22:44:45Z
114,"i have been using this phone while using it home, and the speaker works about as expected. nothing else unusual was happening at the time. 😅",neutral,smartphone,limited,0,1,0,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
115,"not gonna lie, the water inlet is what stood out while using it at home; it performs consistently. i got the same result more than once. Honestly 🤔",positive,washing_machine,informal,0,1,0,1,medium,0,stood_out,initial,0,2026-08-18T22:44:45Z
116,My main impression of this living-room TV comes from the backlight: it has been reliable during a typical weekend. I checked it again before making up my mind.,positive,television,standard,0,0,0,0,medium,0,main_impression,initial,0,2026-08-18T22:44:45Z
117,"During normal weekday use, I observed that the charging port on this device still feels solid. That repeated behavior matters more to me than the first impression.",positive,smartphone,advanced,0,0,0,0,medium,0,noticed,initial,0,2026-08-18T22:44:45Z
118,"ngl, during normal weekday use, the cooling fan has been reliable. i noticed the pattern gradually rather than all at once. 🤷",positive,refrigerator,informal,0,1,0,1,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
119,"I have been useing this cooling unit after a month of ownership, and the compressor is usable without standing out. the behavior was consistent from day to day.",neutral,refrigerator,standard,0,0,1,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
120,"honestly tho, my main impression of this daily phone comes from the signal reception: it has been easy to live with after a month of ownership. nothing else unusual was happening at the time. for my use case, this is a keeper.",positive,smartphone,standard,0,0,0,1,long,0,main_impression,initial,0,2026-08-18T22:44:45Z
121,The compressor is what stood out after comparing it with my previous unit; it has no major strengths or weaknesses. it is adequate for now. kinda wild. The difference became clearer once I compared several ordinary use cases. 😐,neutral,refrigerator,advanced,0,1,0,1,long,0,stood_out,initial,0,2026-08-18T22:44:45Z
122,My main impression of this screen comes from the sound output: it has been easy to live with after comparing it with my previous unit. nohting else unusual was happening at the time. The difference became clearer once I compared several ordinary use cases. Honestly 🙃,positive,television,advanced,0,1,1,0,long,0,main_impression,initial,0,2026-08-18T22:44:45Z
123,"Across repeated observations, i have been useing this laundry machine after comparing it with my previous unit, and the spin cycle keeps doing what I need. the behavior was consistent from day to day.",positive,washing_machine,technical,0,0,1,0,long,0,using,initial,0,2026-08-18T22:44:45Z
124,"after several routine cycles, i noticed that the wi-fi on this display is usable without standing out. it behaved similarly under a few different conditions. i don't feel strongly either way. by contrast, the remote control has not held up.",neutral,television,informal,0,0,0,0,long,1,noticed,initial,0,2026-08-18T22:44:45Z
125,"my main impression of this daily phone comes from the battery: it is inconsistent during normal weekday use. on the other hand, the signal reception is pretty ordinary, which makes the overall picture more mixed. i noticed the pattern gradually rather than all at once.",negative,smartphone,informal,0,0,0,0,long,1,main_impression,initial,0,2026-08-18T22:44:45Z
126,"during normal weekday use, i noticed that the camera on device has been easy to live with. it behaved under a few different conditions. overall i am happy with it. for real. 🙃",positive,smartphone,limited,0,1,0,1,medium,0,noticed,initial,0,2026-08-18T22:44:45Z
127,"After repeated use under comparable conditions, my main impression of this laundry appliance comes from the drain pump: it keeps causnig problems after several routine cycles. I would not rely on it.",negative,washing_machine,technical,0,0,1,0,medium,0,main_impression,initial,0,2026-08-18T22:44:45Z
128,"I have been using this washing unit during a typical weekend, and the drain pump has no major strengths or weaknesses.",neutral,washing_machine,standard,0,0,0,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
